Vocab,English definition
ホームシック,homesickness
おなか,stomach
あし,leg; foot
インフルエンザ,influenza; flu
かぜ,cold
せき,cough
おおい,there are many
こうべし,Kobe City
できるだけ,as much as possible
もうすぐ,very soon; in a few moments/days
にさんにち,for two to three days
はやおきする,to get up early
そうちょう,early morning
のど,throat
ふつかよい,hangover
アレルギー,allergy
たまご,egg
もの,thing (concrete object)
プレゼント,present
きっぷ,train ticket; ticket
～だい,charge; fee
ようじ,business to take care of
おてあらい,restroom
しあい,match; game
せいじ,politics
せいせき,"grade (on a test, etc.)"
せまい,narrow; not spacious
いたい,hurt; painful
なくす,to lose (～を)
きょうみがある,to be interested (in...) (topic に)
せきがでる,to cough
むかし,old times
むかしばなし,old tale
かみさま,God
しんとう,Shinto
おだいじに,Get well soon.
げんきがない,don't look well
たぶん,probably; maybe
はじめて,for the first time
それに,moreover...
おなじ,same
おこす,to wake someone up
さいきどう,reboot
うし,cow
こうし,calf; veal
はなみずがでます。,I have a runny nose.
せなかがかゆいです。,My back itches.
はきました。,I threw up.
あしをこっせつしました。,I broke my leg.
ともばたらき,both husband and wife working
ろうどう,labor
つれてかえる,to bring (a person) back
こくれん,United Nations
じびかい,otorhinolaryngologist; ENT doctor
しゅじゅつ,operation
ちゅうしゃ,injection
べつべつに,separately
いろいろな,various
あまい,sweet
すてき（な）,nice
ねつがある,to have a fever
のどがかわく,to become thirsty
はらう,to pay (～を)
わかれる,to break up; to separate (person と)
きんちょうする,to get nervous
おおむかし,ancient times
むかしむかし,once upon a time
ひとびと,people
いろいろな,various
げりです。,I have diarrhea
べんぴです。,I am constipated.
せいりです。,I have my period.
かふんしょうです。,I have hay fever.
（～に）アレルギーがあります。,I have an allergy to...
むしばがあります。,I have a bad tooth.
くしゃみがでます。,I sneeze.
はっしんがあります。,I have rashes.
めまいがします。,I feel dizzy.
きぶんがわるいです。,I am not feeling well.
やけどをしました。,I burned myself.
けがをしました。,I hurt myself.
つかう,to use
たいし,ambassador
しようちゅう,"""""""Occupied"""""""
おつかい,errand
れんきゅう,consecutive holidays
ないかい,physician
ひふかい,dermatologist
げかい,surgeon
さんふじんかい,obstetrician and gynecologist
せいけいげかい,orthopedic surgeon
がんかい／めいしゃ,ophthalmologist
しかい／はいしゃ,dentist
こうせいぶっしつ,antibiotic
レントゲン,X-ray
たいおんけい,thermometer
てんてき,intravenous feeding
わかれる,to separate
べつに,not in particular
さべつ,discrimination
いちど,once
おんど,temperature
さんじゅうど,30 degrees
たいど,attitude
あか,red color
せきどう,the equator
せきじゅうじ,the Red Cross
あお,blue color
せいねん,youth
あおぞら,blue sky
けしき,scenery
とくしょく,characteristic
